grad_norm,loss,loss_q0,loss_q1,loss_q2,loss_q3,mse,mse_q0,mse_q1,mse_q2,mse_q3,samples,step
2.7402467591695623,1.0007307529449463,1.0027754595202785,1.0005748730439405,0.9978832698637438,1.0014540120959283,1.0007307529449463,1.0027754595202785,1.0005748730439405,0.9978832698637438,1.0014540120959283,128,0
2.6667767348326126,0.9321131110191345,0.9517786387187327,0.9243662648934584,0.9240914407671468,0.9269956254499131,0.9321131110191345,0.9517786387187327,0.9243662648934584,0.9240914407671468,0.9269956254499131,1408,10
2.5347858278511843,0.7921361327171326,0.8357230866396869,0.7804770729886398,0.7773854614798928,0.7789440679550179,0.7921361327171326,0.8357230866396869,0.7804770729886398,0.7773854614798928,0.7789440679550179,2688,20
2.3006028094807736,0.6573428988456725,0.7200126271894677,0.6388303543651961,0.6347561899712459,0.6360868639373161,0.6573428988456725,0.7200126271894677,0.6388303543651961,0.6347561899712459,0.6360868639373161,3968,30
2.074129519290677,0.5365082204341889,0.6098356879526564,0.5200331442391698,0.509398687085728,0.5094058151547989,0.5365082204341889,0.6098356879526564,0.5200331442391698,0.509398687085728,0.5094058151547989,5248,40
1.861525774696986,0.4283430188894273,0.50269945901938,0.4126074453466174,0.40219165560834974,0.3993364339921534,0.4283430188894273,0.50269945901938,0.4126074453466174,0.40219165560834974,0.3993364339921534,6528,50
1.6417188209334712,0.33683713376522073,0.4171748917537718,0.3215291863104265,0.3062780094507455,0.3068508560540248,0.33683713376522073,0.4171748917537718,0.3215291863104265,0.3062780094507455,0.3068508560540248,7808,60
1.429625503756553,0.2657527357339859,0.36411644118117725,0.24479168666953033,0.23076872819681876,0.2275718523288621,0.2657527357339859,0.36411644118117725,0.24479168666953033,0.23076872819681876,0.2275718523288621,9088,70
1.2168716788638265,0.20847278386354448,0.3107408771661553,0.18904323090932165,0.16832160274852015,0.16591937459955275,0.20847278386354448,0.3107408771661553,0.18904323090932165,0.16832160274852015,0.16591937459955275,10368,80
1.0222911290265937,0.1672234058380127,0.2804336020435067,0.14400996850586392,0.12427091683123023,0.12127305932808674,0.1672234058380127,0.2804336020435067,0.14400996850586392,0.12427091683123023,0.12127305932808674,11648,90
0.8790617518786306,0.13018810525536537,0.2355490009568655,0.1112280153419549,0.09037534454949661,0.08800235246922045,0.13018810525536537,0.2355490009568655,0.1112280153419549,0.09037534454949661,0.08800235246922045,12928,100
0.7359243409218732,0.11307781934738159,0.22906086855523639,0.08815536434483386,0.0647780123772551,0.0625481829859572,0.11307781934738159,0.22906086855523639,0.08815536434483386,0.0647780123772551,0.0625481829859572,14208,110
0.6477317266812035,0.0933717370033264,0.2235454545940383,0.07243021236928675,0.04794150971072855,0.04471492991947074,0.0933717370033264,0.2235454545940383,0.07243021236928675,0.04794150971072855,0.04471492991947074,15488,120
0.5190209000014244,0.08062983229756356,0.20533336203142602,0.06024005333893002,0.03553564345786056,0.032942305893901666,0.08062983229756356,0.20533336203142602,0.06024005333893002,0.03553564345786056,0.032942305893901666,16768,130
0.43671743558893006,0.07127078808844088,0.18869598778203525,0.05229382152428902,0.0269096316743336,0.024262679089982843,0.07127078808844088,0.18869598778203525,0.05229382152428902,0.0269096316743336,0.024262679089982843,18048,140
0.39058313976904624,0.07125771455466748,0.19512357562780372,0.04582166443709459,0.02129589359895878,0.018367388186743466,0.07125771455466748,0.19512357562780372,0.04582166443709459,0.02129589359895878,0.018367388186743466,19328,150
0.3352856155744427,0.06530269533395767,0.19072362788332,0.04373048787767236,0.01699973651584602,0.014268897739097933,0.06530269533395767,0.19072362788332,0.04373048787767236,0.01699973651584602,0.014268897739097933,20608,160
0.30411891080379744,0.0637849360704422,0.17846124270680339,0.03985376637128569,0.014711170542503387,0.011552620897746347,0.0637849360704422,0.17846124270680339,0.03985376637128569,0.014711170542503387,0.011552620897746347,21888,170
0.2858571479246969,0.0599561844021082,0.185358941888722,0.03869472655157248,0.012568683897512492,0.00936550896502795,0.0599561844021082,0.185358941888722,0.03869472655157248,0.012568683897512492,0.00936550896502795,23168,180
0.3457294047932903,0.0666316669434309,0.19679542823827692,0.03979110302127619,0.011583418092475494,0.008502855769090231,0.0666316669434309,0.19679542823827692,0.03979110302127619,0.011583418092475494,0.008502855769090231,24448,190
0.22968987514621753,0.05486873611807824,0.17704649102628042,0.03597171034160821,0.01083575523133414,0.0073340040784453725,0.05486873611807824,0.17704649102628042,0.03597171034160821,0.01083575523133414,0.0073340040784453725,25728,200
0.2024450844323322,0.05999414809048176,0.17899638348057312,0.03719276810131432,0.009548734613130567,0.006382300591608366,0.05999414809048176,0.17899638348057312,0.03719276810131432,0.009548734613130567,0.006382300591608366,27008,210
0.26183409403714625,0.058387278020381926,0.19084739622367614,0.03488736246469944,0.009109058472579805,0.005791596993747697,0.058387278020381926,0.19084739622367614,0.03488736246469944,0.009109058472579805,0.005791596993747697,28288,220
0.2651280031118553,0.061138178780674936,0.18535231010717548,0.03387741340034772,0.008746533266579109,0.005603993161541455,0.061138178780674936,0.18535231010717548,0.03387741340034772,0.008746533266579109,0.005603993161541455,29568,230
0.24963323861529485,0.05791195295751095,0.1805600606090164,0.03466062163713682,0.008400717138301395,0.005192586770185516,0.05791195295751095,0.1805600606090164,0.03466062163713682,0.008400717138301395,0.005192586770185516,30848,240
0.223310615525153,0.05935111232101917,0.18165464073711293,0.0357501385989031,0.008022673070332076,0.004752173339625904,0.05935111232101917,0.18165464073711293,0.0357501385989031,0.008022673070332076,0.004752173339625904,32128,250
0.19903494968068597,0.06100942082703113,0.18695206108636095,0.0355577295115933,0.0078098589187450985,0.004294402273783132,0.06100942082703113,0.18695206108636095,0.0355577295115933,0.0078098589187450985,0.004294402273783132,33408,260
0.18055573870183547,0.053784282132983204,0.1751402180161209,0.033702195704972855,0.0073729311144261605,0.004164510369446366,0.053784282132983204,0.1751402180161209,0.033702195704972855,0.0073729311144261605,0.004164510369446366,34688,270
0.1989885239130886,0.05580069832503796,0.17017955009916189,0.033154768385238086,0.007390637243533449,0.0039611258953567005,0.05580069832503796,0.17017955009916189,0.033154768385238086,0.007390637243533449,0.0039611258953567005,35968,280
0.19831098872325562,0.05228456594049931,0.16801057350895715,0.03174143718617098,0.007064397673052296,0.0037724149686278446,0.05228456594049931,0.16801057350895715,0.03174143718617098,0.007064397673052296,0.0037724149686278446,37248,290
0.18986829704902242,0.0628281831741333,0.1913420923760738,0.03465078094840245,0.006629334490231061,0.003531432874431761,0.0628281831741333,0.1913420923760738,0.03465078094840245,0.006629334490231061,0.003531432874431761,38528,300
0.2248748591304379,0.05496396720409393,0.17669893728808533,0.03282375361093062,0.006972210669143716,0.0033014569840885705,0.05496396720409393,0.17669893728808533,0.03282375361093062,0.006972210669143716,0.0033014569840885705,39808,310
0.2280246595504888,0.05652373544871806,0.18356200208420367,0.03251596006804635,0.006855336870675436,0.003289288506449673,0.05652373544871806,0.18356200208420367,0.03251596006804635,0.006855336870675436,0.003289288506449673,41088,320
0.24999091972890738,0.0596543125808239,0.1836829345565341,0.03194346508568247,0.006163650763254893,0.003244257451011506,0.0596543125808239,0.1836829345565341,0.03194346508568247,0.006163650763254893,0.003244257451011506,42368,330
0.2454875512682994,0.056029624119400975,0.18316730168927764,0.03149655968207953,0.006617057555580911,0.003081128653138879,0.056029624119400975,0.18316730168927764,0.03149655968207953,0.006617057555580911,0.003081128653138879,43648,340
0.1392089845470274,0.05232132226228714,0.17396182118153028,0.031233453716554532,0.00630579543761227,0.0029028383934928555,0.05232132226228714,0.17396182118153028,0.031233453716554532,0.00630579543761227,0.0029028383934928555,44928,350
0.2795535946482808,0.05575251951813698,0.1822835193308503,0.03138911672825758,0.006588585106864908,0.0028938365442701727,0.05575251951813698,0.1822835193308503,0.03138911672825758,0.006588585106864908,0.0028938365442701727,46208,360
0.2118409622590916,0.05322286188602447,0.17651383878002244,0.031447777727788125,0.0064220271503665684,0.0029320565412842467,0.05322286188602447,0.17651383878002244,0.031447777727788125,0.0064220271503665684,0.0029320565412842467,47488,370
0.18201224984647477,0.05597241409122944,0.17380968847733347,0.033625275509018726,0.006002669972483282,0.002746988822319742,0.05597241409122944,0.17380968847733347,0.033625275509018726,0.006002669972483282,0.002746988822319742,48768,380
0.18879412239800608,0.05459238365292549,0.17672844511675234,0.03194216659473921,0.0062157693689903395,0.002651635575950571,0.05459238365292549,0.17672844511675234,0.03194216659473921,0.0062157693689903395,0.002651635575950571,50048,390
0.20812082314820102,0.055480559170246115,0.1743546831188038,0.03217133128306298,0.005968972215279272,0.0026640732999730064,0.055480559170246115,0.1743546831188038,0.03217133128306298,0.005968972215279272,0.0026640732999730064,51328,400
0.1919535079794045,0.05235742181539536,0.16879978308247204,0.032538040706741204,0.005954178680006227,0.00247814100586933,0.05235742181539536,0.16879978308247204,0.032538040706741204,0.005954178680006227,0.00247814100586933,52608,410
0.22368660003337557,0.05319185853004455,0.17220144834639697,0.03352054412922385,0.005749218264350394,0.0024593696983514273,0.05319185853004455,0.17220144834639697,0.03352054412922385,0.005749218264350394,0.0024593696983514273,53888,420
0.15766811767581165,0.05305054523050786,0.1731051454744951,0.032634418562267994,0.0059156059173215755,0.0023303777068143807,0.05305054523050786,0.1731051454744951,0.032634418562267994,0.0059156059173215755,0.0023303777068143807,55168,430
0.17499393512848385,0.04716151244938374,0.16732535107903113,0.030383412086439545,0.005916909294824727,0.0024311819656816893,0.04716151244938374,0.16732535107903113,0.030383412086439545,0.005916909294824727,0.0024311819656816893,56448,440
0.26462580665378,0.05288068987429142,0.17679366282220332,0.032236614417040746,0.005679435450641721,0.002362072044538695,0.05288068987429142,0.17679366282220332,0.032236614417040746,0.005679435450641721,0.002362072044538695,57728,450
0.18967406260996061,0.05341169945895672,0.17241377987680417,0.031100571783306632,0.005793430606153472,0.002414199436984223,0.05341169945895672,0.17241377987680417,0.031100571783306632,0.005793430606153472,0.002414199436984223,59008,460
